reviewId,activityId,userName,userDisplayName,datetime,rating,narrative
7,1001,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
8,1001,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
9,1001,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
10,1010,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
11,1010,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
12,1010,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
13,1019,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
14,1019,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
15,1019,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
16,1038,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
17,1038,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
18,1038,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
19,1039,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
20,1039,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
21,1039,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
22,1040,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
23,1040,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
24,1040,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
25,1041,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
26,1041,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
27,1041,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
28,1042,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
29,1042,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
30,1042,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
31,1043,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
32,1043,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
33,1043,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
34,1044,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
35,1044,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
36,1044,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
37,1055,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
38,1055,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
39,1055,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
40,1057,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
41,1057,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
42,1057,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
43,1058,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
44,1058,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
45,1058,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
46,1059,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
47,1059,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
48,1059,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
49,1060,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
50,1060,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
51,1060,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
52,1061,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
53,1061,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
54,1061,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
55,1062,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
56,1062,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
57,1062,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
58,1063,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
59,1063,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
60,1063,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
61,1064,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
62,1064,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
63,1064,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
64,1065,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
65,1065,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
66,1065,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
67,1066,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
68,1066,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
69,1066,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
70,1067,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
71,1067,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
72,1067,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
73,1068,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
74,1068,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
75,1068,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
76,1069,pbruswick,PaulaB,12/03/2014 17:01:02,5,"A great activity, full of fun for my kids.  Met a  lot of great people there."
77,1069,cbrown,Chris Brown,15/03/2014 15:16:18,3,O.K but arrive early as the session starts promptly.
78,1069,ddonut,Danny,17/03/2014 14:44:00,4,Smashing.  Great for dads and male carers very welcoming and friendly.
